MATERIALIZATION,DBT_CLOUD_PROJECT_ID,DBT_CLOUD_JOB_ID,DBT_JOB_NAME,MODEL_NAME,JOB_TYPE,TRIGGERS_SCHEDULE,DEACTIVATED,SCHEDULE_CRON,NEXT_RUN,CRON_HUMANIZED,SCHEDULE_TIME_TYPE,DBT_CLOUD_RUN_ID,DBT_CLOUD_RUN_REASON,LATEST_RUN_STARTED_AT,LATEST_COMPILE_STARTED_AT,LATEST_QUERY_COMPLETED_AT,STATUS,TOTAL_NODE_RUNTIME,ROWS_AFFECTED,MESSAGE
view,205856,499360,,VIEW_RUN_STATISTICS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:12:42.807052Z,2024-01-30T22:12:50.647854Z,2024-01-30T22:12:51.398765Z,success,0.9118881226,1,SUCCESS 1
view,205856,499360,,VIEW_CASE_COMMENT_DS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:49.129698Z,2024-01-30T22:11:49.77177Z,success,0.8307070732,1,SUCCESS 1
view,205856,499360,,VIEW_CASE_USER_METRICS_DS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:12:16.100174Z,2024-01-30T22:12:17.077053Z,success,1.146975517,1,SUCCESS 1
view,205856,499360,,VIEW_CASE_METRIC_DETAIL_DS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:12:13.928536Z,2024-01-30T22:12:14.673599Z,success,0.9307367802,1,SUCCESS 1
incremental,205856,499360,,FACT_CASE_METRICS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:50.939276Z,2024-01-30T22:12:12.384231Z,success,21.633005857,1568,SUCCESS 1568
incremental,205856,499360,,FACT_CASE_MILESTONE,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:31.09285Z,2024-01-30T22:11:41.790811Z,success,10.935169697,179,SUCCESS 179
view,205856,499360,,FACT_CASE_USER_METRICS_LIVE,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:12:13.908849Z,2024-01-30T22:12:14.831952Z,success,1.102361441,1,SUCCESS 1
view,205856,499360,,VIEW_JIRA_CASE_DS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:41.967076Z,2024-01-30T22:11:42.88613Z,success,1.081635952,1,SUCCESS 1
view,205856,499360,,FACT_CASE_MILESTONE_CONSOLIDATED,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:49.964724Z,2024-01-30T22:11:50.641013Z,success,0.9699363708,1,SUCCESS 1
view,205856,499360,,VIEW_CASE_ARTICLE_DS,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:48.299991Z,2024-01-30T22:11:48.955608Z,success,0.8254702091,1,SUCCESS 1
incremental,205856,499360,,FACT_CASE_MILESTONE_CSOD,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:35.881105Z,2024-01-30T22:11:40.273894Z,success,4.565500975,0,SUCCESS 0
incremental,205856,499360,,FACT_CASE_HISTORY,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:31.06115Z,2024-01-30T22:11:36.782742Z,success,5.935901642,224,SUCCESS 224
incremental,205856,499360,,FACT_CASE_TEAM_MEMBER,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:40.451153Z,2024-01-30T22:11:45.376532Z,success,5.082974195,3,SUCCESS 3
incremental,205856,499360,,FACT_QUALITY_REVIEW,,,,,,,,246572821,Triggered via Apache Airflow in the example_fivetran_dbt_dag DAG,2024-01-30T22:11:22.974553Z,2024-01-30T22:11:41.167972Z,2024-01-30T22:11:46.515493Z,success,5.533861399,1,SUCCESS 1
