WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
Accounts Analysis,Archive,Accounts Summary (MQA),AccountsAnalysis_16923556713830/AccountsSummaryMQA,Union (Marketing Accounts Dataset (Einstein)),'1900-2010$'
Accounts Analysis,Archive,Accounts Summary (MQA),AccountsAnalysis_16923556713830/AccountsSummaryMQA,Union (Marketing Accounts Dataset (Einstein)),'2010-2012$'
Accounts Analysis,Archive,Accounts Summary (MQA),AccountsAnalysis_16923556713830/AccountsSummaryMQA,Union (Marketing Accounts Dataset (Einstein)),'2013-2015$'
Accounts Analysis,Archive,Accounts Summary (MQA),AccountsAnalysis_16923556713830/AccountsSummaryMQA,Union (Marketing Accounts Dataset (Einstein)),'2016-2018$'
Accounts Analysis,Archive,Accounts Summary (MQA),AccountsAnalysis_16923556713830/AccountsSummaryMQA,Union (Marketing Accounts Dataset (Einstein)),'2019-2023$'
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP Project - Online Version,Marketing,ICP - Main Page,ICPProject-OnlineVersion/Story,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
ICP Project - Online Version,Marketing,ICP - Main Page,ICPProject-OnlineVersion/Story,ICP Data Source - Online Version,'20230905_CUSTOMER ACCOUNT LIST-$'
